state,cases,datetime
Brandenburg,1,2020-03-04T15:00:00
Saarland,1,2020-03-04T15:00:00
Sachsen,1,2020-03-04T15:00:00
Thüringen,1,2020-03-04T15:00:00
Schleswig Holstein,2,2020-03-04T15:00:00
Bremen,3,2020-03-04T15:00:00
Hamburg,3,2020-03-04T15:00:00
Mecklenburg-Vorpommern,4,2020-03-04T15:00:00
Berlin,7,2020-03-04T15:00:00
Niedersachsen,7,2020-03-04T15:00:00
Rheinland-Pfalz,7,2020-03-04T15:00:00
Hessen,12,2020-03-04T15:00:00
Bayern,48,2020-03-04T15:00:00
Baden-Württemberg,50,2020-03-04T15:00:00
Nordrhein-Westfalen,115,2020-03-04T15:00:00
sum,262,2020-03-04T15:00:00
